State,Year,mme,quantity,population,Deaths,deaths_percap,mme_percap
HI,2011,416974.7088690867,238426.0,1346497.0,159.0,0.0001180841843687732,0.30967370062397964
HI,2012,424229.23300467164,248642.0,1362664.0,120.0,8.806279464343375e-05,0.31132343189859835
HI,2013,,,,129.0,,
HI,2014,,,,127.0,,
HI,2015,,,,147.0,,
IA,2003,,,,13.0,,
IA,2004,,,,25.0,,
IA,2005,,,,37.0,,
IA,2006,445457.0764620181,294294.0,2982644.0,43.0,1.4416738973876869e-05,0.14934973012602848
IA,2007,488186.6822014219,326411.0,2999212.0,68.0,2.267262200871429e-05,0.16277164875354655
IA,2008,531990.318265075,373627.0,3016734.0,66.0,2.1877964712831823e-05,0.17634644561471943
IA,2009,558837.0153968526,415766.0,2978880.0,71.0,2.383446127403588e-05,0.1875997070700574
IA,2010,607070.5599743178,482221.0,3016267.0,78.0,2.58597796547852e-05,0.20126552456208877
IA,2011,666356.0850226065,553020.0,3032266.0,86.0,2.8361627904675908e-05,0.21975515506311338
IA,2012,689322.8744608761,550211.0,3047646.0,95.0,3.1171599326168456e-05,0.22618206788481213
IA,2013,,,,116.0,,
IA,2014,,,,89.0,,
IA,2015,,,,118.0,,
ID,2003,,,,17.0,,
ID,2004,,,,21.0,,
ID,2005,,,,20.0,,
ID,2006,315983.1665572885,238894.0,1459498.0,44.0,3.014735203474071e-05,0.21650126725578828
ID,2007,350292.768143575,257487.0,1495825.0,32.0,2.1392876840539502e-05,0.2341803139695987
ID,2008,389765.93426298635,278089.0,1520030.0,63.0,4.144655039703164e-05,0.256419895832968
ID,2009,433527.17126884894,313907.0,1478549.0,78.0,5.275442342458721e-05,0.2932112302459025
ID,2010,492768.404534451,381222.0,1512581.0,75.0,4.958412144539698e-05,0.32577984553187633
ID,2011,549932.6904295278,431537.0,1542799.0,78.0,5.055746082282916e-05,0.35645128784081903
ID,2012,596689.0786027595,431371.0,1560580.0,68.0,4.357354316984711e-05,0.3823508430216711
ID,2013,,,,111.0,,
ID,2014,,,,136.0,,
ID,2015,,,,101.0,,
IL,2003,,,,615.0,,
IL,2004,,,,767.0,,
IL,2005,,,,827.0,,
IL,2006,1425338.5014911862,1108463.0,12636341.0,1070.0,8.46764106793256e-05,0.1127967741208619
IL,2007,1497638.4275625239,1125902.0,12695866.0,909.0,7.159810917979128e-05,0.11796268388170794
IL,2008,1598711.2088368516,1214982.0,12747038.0,1016.0,7.970479102674676e-05,0.12541825079966434
IL,2009,1750655.1724350927,1375848.0,12779805.0,1028.0,8.043941202545735e-05,0.13698606296693047
IL,2010,1975649.8696666127,1682648.0,12739985.0,988.0,7.755111171637957e-05,0.15507474064267837
IL,2011,2174087.1635165485,1980159.0,12784831.0,1095.0,8.564837501567287e-05,0.17005208465536606
IL,2012,2291091.9999151863,2004374.0,12818538.0,1294.0,0.00010094754955674352,0.17873270726468077
IL,2013,,,,1212.0,,
IL,2014,,,,1314.0,,
IL,2015,,,,1478.0,,
IN,2003,,,,138.0,,
IN,2004,,,,233.0,,
IN,2005,,,,264.0,,
IN,2006,1564522.263241311,1106569.0,6332669.0,373.0,5.890091523810892e-05,0.24705574588555174
IN,2007,1877182.6097010025,1380649.0,6371045.0,423.0,6.63941315749614e-05,0.29464281129720515
IN,2008,2098286.3174855127,1552020.0,6416204.0,453.0,7.060249331224506e-05,0.32702923995021244
IN,2009,2342305.7772988332,1731517.0,6333896.0,525.0,8.288737295339235e-05,0.36980490006448374
IN,2010,2567397.0919459946,1927876.0,6402768.0,564.0,8.808690241470563e-05,0.40098237074121607
IN,2011,2775856.644925946,2223788.0,6445729.0,588.0,9.12231960108779e-05,0.4306505354050637
IN,2012,3029357.556785709,2624775.0,6477040.0,668.0,0.00010313353013104752,0.4677070941025081
IN,2013,,,,694.0,,
IN,2014,,,,841.0,,
IN,2015,,,,882.0,,
KS,2003,,,,74.0,,
KS,2004,,,,104.0,,
KS,2005,,,,126.0,,
KS,2006,761390.6634869698,720692.0,2739234.0,96.0,3.5046293963932985e-05,0.2779575105620658
KS,2007,913181.3928741025,870803.0,2760018.0,102.0,3.695628071990835e-05,0.33086066571815925
KS,2008,961942.2548701522,846505.0,2781917.0,102.0,3.666536420748714e-05,0.34578395217044655
KS,2009,925779.2621520981,631074.0,2751850.0,140.0,5.0874865999236874e-05,0.3364206850490027
KS,2010,999266.5857121692,696018.0,2782990.0,109.0,3.9166507964455496e-05,0.35906222649458647
KS,2011,1097219.6392261724,809389.0,2814303.0,112.0,3.979670987807638e-05,0.38987260406081803
KS,2012,1137784.2693912932,804682.0,2836066.0,158.0,5.5710974286211956e-05,0.40118398845135944
KS,2013,,,,151.0,,
KS,2014,,,,175.0,,
KS,2015,,,,161.0,,
KY,2003,,,,276.0,,
KY,2004,,,,185.0,,
KY,2005,,,,275.0,,
KY,2006,1522884.0234027156,1011821.0,4216930.0,331.0,7.849312177342284e-05,0.36113571328020994
